cardinality,average intelligent,average dumb,standard deviation intelligent,standard deviation dumb
1000,250.51724137931035,255.41379310344828,5.916783199044446,6.189631159304108
2000,258.3448275862069,261.2068965517241,9.196235594426911,5.903706085250398
3000,260.8965517241379,269.3448275862069,6.024918529059739,8.49452506057615
4000,272.86206896551727,281.0689655172414,7.920833019284128,15.217800453875828
5000,278.44827586206895,282.6896551724138,8.708245030435641,7.926835470145014
6000,283.17241379310343,289.1034482758621,6.114251106014206,11.308662616700486
7000,285.58620689655174,290.86206896551727,9.597116094770563,5.7399035071249935
8000,287.2068965517241,295.58620689655174,10.867158085321453,7.3321081382026305
9000,291.8965517241379,301.58620689655174,6.047768625763793,12.954874575523247
10000,294.13793103448273,304.6896551724138,6.095357973312966,6.752284151337552
