cardinality,average intelligent,average dumb,standard deviation intelligent,standard deviation dumb
1000,244.3448275862069,276.8965517241379,10.403168821181247,14.688359988231374
2000,252.55172413793105,298.6551724137931,7.902798312324531,11.154945901873383
3000,266.48275862068965,324.44827586206895,37.41161601801861,15.57979727834239
4000,269.0689655172414,344.58620689655174,8.329138857184411,10.58794773960016
5000,282.41379310344826,371.0344827586207,10.845362083204716,7.199055295401919
6000,287.3448275862069,394.2413793103448,7.530516592019917,12.582569148364138
7000,290.7586206896552,419.1034482758621,3.1034482758620685,6.717680365178438
8000,308.58620689655174,453.3103448275862,11.833666879681155,10.654781825225841
9000,315.13793103448273,487.58620689655174,5.661266691030185,8.364610349682845
10000,317.7586206896552,513.4827586206897,4.368027823059307,7.22839558511012
