cardinality,intelligent runtime,dumb runtime
10000,2928,4445
10000,3427,4892
10000,3240,4719
10000,3178,4715
10000,3238,4720
10000,3380,4822
10000,3009,4793
10000,2858,4811
10000,3236,4740
10000,3379,4859
10000,3012,4864
10000,3164,4786
10000,2835,4771
10000,3362,4991
10000,2851,4799
10000,3216,4666
10000,3252,4871
10000,3232,4811
10000,2874,4844
10000,3262,4728
10000,3238,4770
10000,3446,4888
10000,3559,4807
10000,3244,4886
10000,2809,4795
10000,3159,4772
10000,3193,4820
10000,3384,4698
10000,2984,4838
