cardinality,intelligent runtime,dumb runtime
10000,1664,4690
10000,1726,4557
10000,1671,4500
10000,1593,4464
10000,1644,4556
10000,2077,5102
10000,1738,4608
10000,1621,4574
10000,1606,4502
10000,1612,4743
10000,1575,4594
10000,1731,4567
10000,1721,4783
10000,1694,4638
10000,1723,4647
10000,1704,4695
10000,1626,4705
10000,1682,4697
10000,1684,4784
10000,1660,4650
10000,1869,5000
10000,1656,4654
10000,1720,4744
10000,1708,4761
10000,1695,4697
10000,1843,4806
10000,1995,4709
10000,2029,4709
10000,1931,4700
