cardinality,intelligent runtime,dumb runtime
10000,4265,7745
10000,4312,7867
10000,4106,7588
10000,4267,7391
10000,4465,8111
10000,4347,8140
10000,4824,8712
10000,4486,8300
10000,4360,8258
10000,4392,7915
10000,4501,7857
10000,4688,8035
10000,4726,8084
10000,4650,7960
10000,4295,8247
10000,4390,7888
10000,4353,7762
10000,4470,8108
10000,4650,8670
10000,4457,7958
10000,4696,8192
10000,4625,7744
10000,4566,7881
10000,4498,8054
10000,4513,7681
10000,4524,7822
10000,4454,8134
10000,4629,7924
10000,5342,8509
