cardinality,average intelligent,average dumb,standard deviation intelligent,standard deviation dumb
1000,346.86206896551727,597.1724137931035,6.791090197030906,15.813719415741817
2000,449.37931034482756,952.448275862069,16.278637986538975,15.087300452976434
3000,595.0689655172414,1326.7586206896551,22.148294920723867,21.60245064708104
4000,742.1379310344828,1708.0344827586207,27.205126466609357,15.461816725617961
5000,1138.7586206896551,2329.9655172413795,149.69293977602007,103.52127309569349
6000,1386.6206896551723,2671.3793103448274,60.27317914016405,50.770215130053984
7000,1822.3103448275863,3301.4137931034484,69.86346460123482,71.91063287230287
8000,2131.862068965517,3775.896551724138,72.22031624465515,66.90927714016748
9000,2641.1724137931033,4222.896551724138,146.50787173520916,61.207586203011196
10000,3170.655172413793,4790.379310344828,201.98707296671225,94.81830675600624
