cardinality,average intelligent,average dumb,standard deviation intelligent,standard deviation dumb
1000,281.82758620689657,291.7931034482759,7.987356239134714,3.1989147981542385
2000,306.7586206896552,341.55172413793105,8.369300108396132,64.75076152229411
3000,377.13793103448273,374.6896551724138,3.766679118461068,2.7050839527524397
4000,424.44827586206895,420.3448275862069,11.031572892186512,3.5357861347885757
5000,518.2413793103449,468.58620689655174,2.699363557349093,12.796867184990916
6000,580.551724137931,515.5172413793103,7.005348729396124,13.252509689853731
7000,634.7931034482758,558.4827586206897,18.223477298566475,7.379471477454443
8000,688.2068965517242,603.7241379310345,3.0100900472820946,6.107635423282373
9000,753.0,651.6551724137931,10.795912380986195,6.476886555516634
10000,806.0689655172414,696.7241379310345,4.578292367118,13.297385150586715
