cardinality,average intelligent,average dumb,standard deviation intelligent,standard deviation dumb
1000,291.9655172413793,576.0,4.874159581816448,5.9422508216656595
2000,334.2758620689655,909.3448275862069,6.421389642942739,9.809481205547906
3000,392.13793103448273,1266.4827586206898,9.669447575173923,91.60094137810773
4000,446.58620689655174,1574.8620689655172,21.379199109832985,19.977097469492126
5000,545.6896551724138,1947.8275862068965,13.618201431390325,37.56380224366523
6000,823.7241379310345,2423.5172413793102,51.975389767641154,94.12083967621375
7000,1033.6206896551723,2963.1724137931033,41.48569657380759,79.70984837933366
8000,1162.344827586207,3424.103448275862,56.699617381223746,121.36674112036772
9000,1541.896551724138,4283.6551724137935,164.13269333862817,244.4593296492414
10000,1730.9655172413793,4684.0,128.82907220585778,133.6253124895543
