cardinality,average intelligent,average dumb,standard deviation intelligent,standard deviation dumb
1000,270.6896551724138,285.2413793103448,7.692824458997879,7.351542987999154
2000,288.1034482758621,327.58620689655174,12.35493710498011,14.606369043908517
3000,327.3448275862069,359.8965517241379,10.48899542235926,9.495352139195502
4000,353.2413793103448,403.48275862068965,11.787354920784283,16.63320461721937
5000,431.9655172413793,447.3448275862069,7.9110693231641935,14.41569035525352
6000,472.2413793103448,487.82758620689657,8.608957533966635,11.635465894728751
7000,507.58620689655174,519.9310344827586,14.77070082473224,4.532876337973788
8000,553.1724137931035,566.1034482758621,16.01522759323944,7.150330725826877
9000,581.551724137931,607.0344827586207,5.398506861873311,16.076289584398104
10000,644.2758620689655,665.3103448275862,58.739575187622485,38.19740327721864
