cardinality,average intelligent,average dumb,standard deviation intelligent,standard deviation dumb
1000,381.44827586206895,798.7586206896551,8.475466447937071,13.803185970097239
2000,515.6551724137931,1379.655172413793,12.015150958538989,19.59464364189949
3000,790.4827586206897,2075.448275862069,71.57615702494076,91.42420497684428
4000,1151.5862068965516,2898.448275862069,111.81897847718577,93.41475413515147
5000,1645.5862068965516,3846.7586206896553,194.54465266029757,214.90553741560643
6000,2214.793103448276,4634.586206896552,180.1505843895208,95.17480007003422
7000,2846.8275862068967,5514.3448275862065,424.01269247150157,95.65717373537252
8000,3026.5172413793102,6208.689655172414,376.8363424791718,385.8213007337478
9000,3772.6206896551726,7080.586206896552,199.0062230517364,163.47403405357775
10000,4512.103448275862,8018.517241379311,223.89088241705764,292.11707864102937
