cardinality,average intelligent,average dumb,standard deviation intelligent,standard deviation dumb
1000,276.48275862068965,303.44827586206895,6.106077750361532,12.631613889014401
2000,287.2068965517241,352.6551724137931,9.113761138670837,6.001585204783276
3000,339.0689655172414,418.13793103448273,6.867871398805827,15.619890365483574
4000,379.6896551724138,481.1034482758621,15.028945516215357,12.441157578878947
5000,401.6896551724138,534.7931034482758,13.79181028420768,11.77191078253896
6000,433.7586206896552,607.8275862068965,16.831118905608868,39.10734031594831
7000,458.3103448275862,655.7931034482758,38.174827821372546,24.797635190845604
8000,483.6551724137931,706.7931034482758,8.103961832589453,14.387205308033431
9000,520.7586206896551,764.6551724137931,20.75747505144342,9.378169301789775
10000,552.8275862068965,822.0689655172414,19.192435588761924,9.790674783841455
